id,ts_entry,city,market_id,question,date_str,days_ahead,unit,mb_max_model,mb_consensus,mb_n_models,mb_models_json,market_threshold,overshoot,market_type,no_ask_entry,no_bid_entry,yes_bid_entry,token_yes_id,token_no_id,roe_per_day,risk_distance,score,sim_stake,sim_tokens,stop_price,no_price_last,no_price_max,no_price_min,ticks_tracked,last_update,outcome,close_reason,ts_close,no_price_close,sim_pnl,sim_pnl_pct,is_sandbox
100,2026-03-16T07:29:35.306086,Londres,0xefc3c4940b89187b4d1a3db393615af05fc2d9f6fd804ab3f3f87799fcb9f1a6,Will the highest temperature in London be 22°C or higher on March 18?,2026-03-18,2,C,18.14,16.27,10,"{""AIFS"": 17.28, ""GEM15"": 15.82, ""GFS"": 15.85, ""ICON"": 18.14, ""IFS"": 16.28, ""IFS-HR"": 16.02, ""ARPEGE"": 15.22, ""NEMS"": 15.38, ""NEMS2"": 16.31, ""UKMO"": 16.44}",22.0,3.86,above_equal,0.99,0.98,0.01,46976386563368618220326338791472324756076942963388520624094101183753806573741,112459257287344913154873271959708993644537711795937691935124318988575686988342,0.51,3.86,31.977,5.0,5.0505,0.8415,0.999,0.999,0.976,23,2026-03-18T23:09:31.703306,WIN,EXPIRED_WIN,2026-03-19T01:22:12.600482,1.0,0.0505,1.01,0
102,2026-03-16T16:55:02.249449,Seoul,0xb0fd310aa70b7b3319ac1e52d7514ccb1d800f9ce2696a7b78d6eba4ac682289,Will the highest temperature in Seoul be 13°C or higher on March 18?,2026-03-18,2,C,11.11,9.19,10,"{""AIFS"": 7.78, ""GEM15"": 9.59, ""GFS"": 10.64, ""ICON"": 10.83, ""IFS"": 6.88, ""IFS-HR"": 7.29, ""ARPEGE"": 9.12, ""NEMS"": 11.11, ""NEMS2"": 9.98, ""UKMO"": 8.69}",13.0,1.89,above_equal,0.989,0.98,0.011,26369677202639140638457077738347265245854665520759259522212993786997450766032,4417107576377606160440608071503745260274404596991061433655448819701260559322,0.56,1.89,3.61,5.0,5.0556,0.8407,0.999,0.999,0.951,17,2026-03-18T16:02:39.849927,WIN,EXPIRED_WIN,2026-03-19T01:22:12.106414,1.0,0.0556,1.11,0
115,2026-03-17T06:56:38.696354,Paris,0x541183bc2ae8aca06e8a3b77ef2abf6b37532a77ca5738c9658527bc23b14fa9,Will the highest temperature in Paris be 21°C on March 18?,2026-03-18,1,C,15.83,14.79,10,"{""AIFS"": 14.47, ""GEM15"": 14.25, ""GFS"": 14.24, ""ICON"": 15.56, ""IFS"": 14.34, ""IFS-HR"": 14.68, ""ARPEGE"": 14.1, ""NEMS"": 15.83, ""NEMS2"": 14.88, ""UKMO"": 15.59}",21.0,5.17,exact,0.992,0.983,0.008,106119894669529771442750133214303159429953954138815724738664890495044923745542,16294603253531328371309753025580200332464794381901283248201513625406684391175,0.81,5.17,49.743,5.0,5.0403,0.8432,0.999,0.999,0.986,15,2026-03-18T23:09:22.166421,WIN,EXPIRED_WIN,2026-03-19T01:22:03.596961,1.0,0.0403,0.81,0
119,2026-03-17T12:51:50.580411,Tokyo,0x1b538dde95d8cd3a3ad7b99162e5168225bdf3e57510575b5f208f6f34f11be0,Will the highest temperature in Tokyo be 18°C on March 18?,2026-03-18,1,C,16.22,14.82,10,"{""AIFS"": 14.64, ""GEM15"": 13.34, ""GFS"": 15.36, ""ICON"": 16.22, ""IFS"": 15.43, ""IFS-HR"": 15.56, ""ARPEGE"": 15.71, ""NEMS"": 11.65, ""NEMS2"": 14.39, ""UKMO"": 15.93}",18.0,1.78,exact,0.988,0.979,0.012,1339435778048750787267390393974606009586514104459083200093786611278558046072,49232089552794358956941222391744262059047498578719078886341963757610050090941,1.21,1.78,3.293,5.0,5.0607,0.8398,0.999,0.999,0.924,10,2026-03-18T16:02:24.378116,WIN,EXPIRED_WIN,2026-03-19T01:22:00.073307,1.0,0.0607,1.21,0
121,2026-03-17T15:59:30.486054,Paris,0x0acea6184b7ec6a7225b51b4885cad86978b84950e978242cd5ca5e878739662,Will the highest temperature in Paris be 20°C on March 18?,2026-03-18,1,C,15.83,14.81,10,"{""AIFS"": 14.47, ""GEM15"": 14.46, ""GFS"": 14.24, ""ICON"": 15.56, ""IFS"": 14.31, ""IFS-HR"": 14.68, ""ARPEGE"": 14.1, ""NEMS"": 15.83, ""NEMS2"": 14.9, ""UKMO"": 15.59}",20.0,4.17,exact,0.995,0.994,0.005,69501725898977116567236722893718007343474364112082416175664253139754338098447,36178957028353584890561429557903616893480082396574276891326616258513644608665,0.5,4.17,36.1,5.0,5.0251,0.8458,0.999,0.999,0.99,12,2026-03-18T23:09:15.180857,WIN,EXPIRED_WIN,2026-03-19T01:21:58.978216,1.0,0.0251,0.5,0
122,2026-03-17T18:51:20.786419,Seoul,0xf86d67ea68df5864d9fe1e4e709d0fbd064b606502e31457800f0959fee371f1,Will the highest temperature in Seoul be 12°C on March 18?,2026-03-18,1,C,10.02,8.12,10,"{""AIFS"": 7.52, ""GEM15"": 7.41, ""GFS"": 8.95, ""ICON"": 8.4, ""IFS"": 6.13, ""IFS-HR"": 6.31, ""ARPEGE"": 7.4, ""NEMS"": 10.02, ""NEMS2"": 9.66, ""UKMO"": 9.4}",12.0,1.98,exact,0.989,0.98,0.011,27660337608786280510235932149465682984225973716549835121524744969188587057231,39726246626900031127837353385554360385591618812254329934956595342139744152035,1.11,1.98,6.01,5.0,5.0556,0.8407,0.999,0.999,0.982,8,2026-03-18T16:02:20.899488,WIN,EXPIRED_WIN,2026-03-19T01:21:58.291940,1.0,0.0556,1.11,0
125,2026-03-17T21:30:12.904811,Ankara,0xb9951f1bf947ed841cbb59f1b48cb689ace2c372f73395a5f69c26454bdbf731,Will the highest temperature in Ankara be 19°C on March 18?,2026-03-18,1,C,17.33,16.31,10,"{""AIFS"": 15.89, ""GEM15"": 17.01, ""GFS"": 14.72, ""ICON"": 15.83, ""IFS"": 17.11, ""IFS-HR"": 16.73, ""ARPEGE"": 16.07, ""NEMS"": 16.67, ""NEMS2"": 17.33, ""UKMO"": 15.7}",19.0,1.67,exact,0.995,0.989,0.005,16107951191012064303222183374910983856008520240228429838380174266101345529575,10531518469836753414296938947461652305507492983558840303723231370687962076306,0.5,1.67,2.767,5.0,5.0251,0.8458,0.999,0.999,0.979,10,2026-03-18T23:09:11.184152,WIN,EXPIRED_WIN,2026-03-19T01:21:57.650150,1.0,0.0251,0.5,0
126,2026-03-17T21:31:34.305101,Wellington,0x324e06c2a1558ed908d3cc17917c20c55c203bf1b8220e9e94080532000628c5,Will the highest temperature in Wellington be 22°C on March 18?,2026-03-18,1,C,19.01,17.82,10,"{""AIFS"": 17.85, ""GEM15"": 18.41, ""GFS"": 16.82, ""ICON"": 18.12, ""IFS"": 17.6, ""IFS-HR"": 19.01, ""ARPEGE"": 18.29, ""NEMS"": 17.1, ""NEMS2"": 16.53, ""UKMO"": 18.49}",22.0,2.99,exact,0.96,0.92,0.04,90324846540755333795462371433760893869431670486115708415760066714410498649093,95586783908333556055348689463427295657968668964197969289111513391860798906356,4.17,2.99,24.037,5.0,5.2083,0.816,0.999,0.999,0.916,6,2026-03-18T12:49:33.196931,WIN,EXPIRED_WIN,2026-03-19T01:21:57.195016,1.0,0.2083,4.17,1
110,2026-03-17T02:16:34.922158,Toronto,0x78bccf81a8dc7e0b52719226cae4c19cdf8be77381c44181942ebd5c0a6b55e1,Will the highest temperature in Toronto be 8°C or higher on March 19?,2026-03-19,2,C,0.49,-0.8,12,"{""AIFS"": -1.06, ""GEM15"": -2.78, ""GFS"": -2.7, ""ICON"": -0.61, ""IFS"": -1.11, ""IFS-HR"": -0.37, ""ARPEGE"": -1.5, ""NAM12"": -0.75, ""NBM"": 0.06, ""NEMS"": 0.32, ""NEMS2"": 0.49, ""UKMO"": 0.43}",8.0,7.51,above_equal,0.95,0.83,0.05,69721656062990077327210546908074427451414338411432752081209974280758995142569,437699876407300873604167179884164662999346475347810748730297095015934004742,2.63,7.51,82.463,5.0,5.2632,0.8075,0.776,0.954,0.776,15,2026-03-18T18:47:46.336816,LOSS,STOP,2026-03-18T18:47:46.338280,0.776,-0.9158,-18.32,1
60,2026-03-15T00:07:38.568501,Dallas,0x2bb11ab492f26f4726c9950cc12332cd9c6ea28fadc10b503aed0351e2a0c70a,Will the highest temperature in Dallas be 74°F or higher on March 17?,2026-03-17,2,F,47.12,40.64,12,"{""AIFS"": 37.72, ""GEM15"": 33.19, ""GFS"": 47.12, ""ICON"": 39.55, ""IFS"": 40.27, ""IFS-HR"": 41.4, ""ARPEGE"": 45.19, ""NAM12"": 44.26, ""NBM"": 41.88, ""NEMS"": 36.43, ""NEMS2"": 34.48, ""UKMO"": 46.16}",74.0,26.88,above_equal,0.979,0.972,0.021,6046695349540449911000226640537053133197009213719860151815247201629077107797,59333707776606159191002929110855234895854965022878344754894032790499714003908,1.07,26.88,163.331,5.0,5.1073,0.8321,0.993,0.998,0.971,27,2026-03-17T21:29:37.803991,WIN,EXPIRED_WIN,2026-03-18T01:21:43.299598,1.0,0.1073,2.15,0
